agency_cd	site_no	datetime	depth_ft
USGS	341408111212001	9/4/23	29.23
USGS	341408111212001	9/5/23	29.29
USGS	341408111212001	9/6/23	
USGS	341408111212001	9/7/23	
USGS	341408111212001	9/8/23	29.35
USGS	341408111212001	9/9/23	29.35
USGS	341408111212001	9/10/23	29.34
USGS	341408111212001	9/11/23	29.35
USGS	341408111212001	9/12/23	29.37
USGS	341408111212001	9/13/23	29.37
USGS	341408111212001	9/14/23	29.38
USGS	341408111212001	9/15/23	29.4
USGS	341408111212001	9/16/23	29.42
USGS	341408111212001	9/17/23	29.42
USGS	341408111212001	9/18/23	29.42
USGS	341408111212001	9/19/23	29.43
USGS	341408111212001	9/20/23	29.42
USGS	341408111212001	9/21/23	29.45
USGS	341408111212001	9/22/23	29.49
USGS	341408111212001	9/23/23	29.49
USGS	341408111212001	9/24/23	29.51
USGS	341408111212001	9/25/23	29.53
USGS	341408111212001	9/26/23	29.53
USGS	341408111212001	9/27/23	29.53
USGS	341408111212001	9/28/23	29.53
USGS	341408111212001	9/29/23	29.53
USGS	341408111212001	9/30/23	29.52
USGS	341408111212001	10/1/23	29.56
USGS	341408111212001	10/2/23	29.59
USGS	341408111212001	10/3/23	29.6
USGS	341408111212001	10/4/23	29.63
USGS	341408111212001	10/5/23	29.66
USGS	341408111212001	10/6/23	29.67
USGS	341408111212001	10/7/23	29.69
USGS	341408111212001	10/8/23	29.68
USGS	341408111212001	10/9/23	29.65
USGS	341408111212001	10/10/23	29.62
USGS	341408111212001	10/11/23	29.59
USGS	341408111212001	10/12/23	29.68
USGS	341408111212001	10/13/23	29.76
USGS	341408111212001	10/14/23	29.8
USGS	341408111212001	10/15/23	29.81
USGS	341408111212001	10/16/23	29.81
USGS	341408111212001	10/17/23	29.79
USGS	341408111212001	10/18/23	29.83
USGS	341408111212001	10/19/23	29.85
USGS	341408111212001	10/20/23	29.84
USGS	341408111212001	10/21/23	29.81
USGS	341408111212001	10/22/23	29.82
USGS	341408111212001	10/23/23	29.8
USGS	341408111212001	10/24/23	29.88
USGS	341408111212001	10/25/23	29.92
USGS	341408111212001	10/26/23	29.93
USGS	341408111212001	10/27/23	29.94
USGS	341408111212001	10/28/23	29.92
USGS	341408111212001	10/29/23	29.97
USGS	341408111212001	10/30/23	30.01
USGS	341408111212001	10/31/23	30.03
USGS	341408111212001	11/1/23	30.03
USGS	341408111212001	11/2/23	30.05
USGS	341408111212001	11/3/23	30.06
USGS	341408111212001	11/4/23	30.07
USGS	341408111212001	11/5/23	30.06
USGS	341408111212001	11/6/23	30.06
USGS	341408111212001	11/7/23	30.06
USGS	341408111212001	11/8/23	30.08
USGS	341408111212001	11/9/23	30.11
USGS	341408111212001	11/10/23	30.12
USGS	341408111212001	11/11/23	30.16
USGS	341408111212001	11/12/23	30.17
USGS	341408111212001	11/13/23	30.18
USGS	341408111212001	11/14/23	30.18
USGS	341408111212001	11/15/23	30.18
USGS	341408111212001	11/16/23	30.19
USGS	341408111212001	11/17/23	30.21
USGS	341408111212001	11/18/23	30.19
USGS	341408111212001	11/19/23	30.17
USGS	341408111212001	11/20/23	30.27
USGS	341408111212001	11/21/23	30.31
USGS	341408111212001	11/22/23	30.24
USGS	341408111212001	11/23/23	30.16
USGS	341408111212001	11/24/23	30.18
USGS	341408111212001	11/25/23	30.24
USGS	341408111212001	11/26/23	30.29
USGS	341408111212001	11/27/23	30.32
USGS	341408111212001	11/28/23	30.32
USGS	341408111212001	11/29/23	30.22
USGS	341408111212001	11/30/23	30.22
USGS	341408111212001	12/1/23	30.27
USGS	341408111212001	12/2/23	30.35
USGS	341408111212001	12/3/23	30.35
USGS	341408111212001	12/4/23	30.35
USGS	341408111212001	12/5/23	30.37
USGS	341408111212001	12/6/23	30.33
USGS	341408111212001	12/7/23	30.27
USGS	341408111212001	12/8/23	30.27
USGS	341408111212001	12/9/23	30.38
USGS	341408111212001	12/10/23	30.35
USGS	341408111212001	12/11/23	30.26
USGS	341408111212001	12/12/23	30.24
USGS	341408111212001	12/13/23	30.26
USGS	341408111212001	12/14/23	30.33
USGS	341408111212001	12/15/23	30.35
USGS	341408111212001	12/16/23	30.33
USGS	341408111212001	12/17/23	30.3
USGS	341408111212001	12/18/23	30.28
USGS	341408111212001	12/19/23	30.24
USGS	341408111212001	12/20/23	30.26
USGS	341408111212001	12/21/23	30.29
USGS	341408111212001	12/22/23	30.24
USGS	341408111212001	12/23/23	30.22
USGS	341408111212001	12/24/23	30.27
USGS	341408111212001	12/25/23	30.27
USGS	341408111212001	12/26/23	30.27
USGS	341408111212001	12/27/23	30.28
USGS	341408111212001	12/28/23	30.28
USGS	341408111212001	12/29/23	30.29
USGS	341408111212001	12/30/23	30.22
USGS	341408111212001	12/31/23	30.23
