date,t-max,t-min,prcp
12/6/23,38,30,0
12/7/23,49,32,0
12/8/23,55,39,0
12/9/23,44,32,0.24
12/10/23,32,24,0.03
12/11/23,33,22,0
12/12/23,33,21,0
12/13/23,41,16,0
12/14/23,51,32,0
12/15/23,47,34,0
12/16/23,44,35,0
12/17/23,40,33,0.13
12/18/23,33,14,0
12/19/23,31,12,0
12/20/23,40,23,0
12/21/23,39,27,0
12/22/23,46,39,0
12/23/23,45,40,0
12/24/23,52,44,0
12/25/23,54,48,0.03
12/26/23,51,32,0.4
12/27/23,40,30,0
12/28/23,34,29,0.02
12/29/23,38,24,0.44
12/30/23,37,20,0
12/31/23,31,28,0.01
